City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
253,sundargarh,22.1167,22.1167,74.68,74.68,100,3.67,IN,1694129462
254,casablanca,33.5928,33.5928,73.33,68.02,63,5.99,MA,1694129463
255,doctor arroyo,23.6667,23.6667,72.0,72.0,79,7.99,MX,1694129463
256,sisimiut,66.9395,66.9395,37.02,37.02,100,11.36,GL,1694129464
257,oshawa,43.9001,43.9001,75.61,74.25,0,6.91,CA,1694129424
258,salinas,36.6777,36.6777,82.99,61.5,0,13.8,US,1694129233
259,tol'yatti,53.5303,53.5303,47.39,47.39,40,10.31,RU,1694129466
260,acajutla,13.5928,13.5928,85.96,85.96,68,8.68,SV,1694129283
261,qamdo,31.1667,31.1667,40.84,40.84,60,3.18,CN,1694129467
262,erseke,40.3378,40.3378,56.98,56.98,100,6.93,AL,1694129467
263,port alfred,-33.5906,-33.5906,53.19,53.19,56,2.13,ZA,1694129468
264,teguise,29.0605,29.0605,71.82,71.82,20,5.75,ES,1694129468
265,hermanus,-34.4187,-34.4187,52.81,52.81,98,8.08,ZA,1694129469
266,flying fish cove,-10.4217,-10.4217,74.88,74.88,100,10.36,CX,1694129470
267,itoman,26.1247,26.1247,83.17,82.4,75,12.66,JP,1694129470
268,maraba,-5.3686,-5.3686,82.58,82.58,0,5.75,BR,1694129471
269,castelli,-25.9468,-25.9468,66.34,66.34,84,12.01,AR,1694129471
270,anastacio,-20.4836,-20.4836,80.02,80.02,77,4.03,BR,1694129472
271,fuerte olimpo,-21.0415,-21.0415,80.94,80.94,91,3.85,PY,1694129472
272,vilyuysk,63.7553,63.7553,36.46,36.46,73,5.12,RU,1694129473
273,broome,42.2506,42.2506,69.85,64.67,75,4.61,US,1694129473
274,nianzishan,47.5167,47.5167,63.57,63.57,5,14.85,CN,1694129474
275,east london,-33.0153,-33.0153,61.65,61.65,61,3.67,ZA,1694129474
276,ambovombe,-25.1667,-25.1667,64.94,64.94,29,6.76,MG,1694129475
277,eregli,37.5133,37.5133,71.08,71.08,0,4.21,TR,1694129475
278,novoarkhanhel's'k,48.658,48.658,52.9,52.9,23,5.91,UA,1694129476
279,tazovsky,67.4667,67.4667,42.37,42.37,16,3.06,RU,1694129476
280,rongelap,11.1635,11.1635,83.59,83.59,74,9.1,MH,1694129477
281,papao,-17.75,-17.75,80.28,79.66,12,12.93,PF,1694129477
282,port hedland,-20.3167,-20.3167,64.45,64.45,2,5.75,AU,1694129478
283,constantia,44.1833,44.1833,66.88,66.7,19,13.51,RO,1694129478
284,saraktash,51.7866,51.7866,45.36,45.36,5,8.32,RU,1694129479
285,lukolela,-1.0605,-1.0605,72.39,72.39,42,2.04,CD,1694129479
286,daru,-9.0763,-9.0763,81.45,81.45,53,12.55,PG,1694129480
287,ithaca,42.4406,42.4406,73.11,67.82,75,8.05,US,1694129195
288,betio village,1.358,1.358,87.84,87.84,19,12.28,KI,1694129480
289,whitehorse,60.7161,60.7161,56.17,54.1,100,19.57,CA,1694129481
290,gobabis,-22.45,-22.45,65.01,65.01,100,5.86,NA,1694129481
291,fort bragg,35.139,35.139,89.82,83.64,0,8.05,US,1694129482
292,hovd,48.0056,48.0056,52.97,52.97,84,8.21,MN,1694129483
293,lipetsk,52.6031,52.6031,44.22,44.22,46,8.63,RU,1694129483
294,galesong,-5.3166,-5.3166,71.62,71.62,20,12.59,ID,1694129484
295,newman,37.3138,37.3138,94.23,91.15,0,9.19,US,1694129484
296,freetown,8.484,8.484,77.99,77.99,97,6.98,SL,1694129485
297,glace bay,46.1969,46.1969,67.78,63.79,100,5.75,CA,1694129424
298,balakovo,52.0278,52.0278,49.98,49.98,14,7.25,RU,1694129486
299,whistler,50.1164,50.1164,69.03,58.73,75,2.3,CA,1694129400
300,kalianget,-7.05,-7.05,80.08,80.08,70,11.54,ID,1694129487
301,birjand,32.8663,32.8663,61.27,61.27,0,6.91,IR,1694129487
302,saint-pierre,-21.3393,-21.3393,71.56,65.17,100,4.61,RE,1694129488
303,xam nua,20.4197,20.4197,71.06,71.06,47,0.81,LA,1694129488
304,skerries,53.5828,53.5828,64.13,61.45,78,5.17,IE,1694129489
305,nabire,-3.3667,-3.3667,80.87,80.87,95,2.24,ID,1694129489
